time,google_ads_impressions,bing_ads_impressions,tv_impressions,google_ads_spend,bing_ads_spend,tv_spend,lead_created_count,avg_lead_value,webinar,email_campaign_opens,organic_impressions_search_console,control,50_off_sale
2024-01-21,4776,1003,0,287,27,0,1,7167,0,200,4776.2,500,0
2024-01-28,5481,1151,0,329,28,0,3,4617,0,100,5480.8,500,0
2024-02-04,0,1016,0,0,27,0,1,3750,0,6,4840,500,0
2024-02-11,0,1222,0,0,26,0,1,2667,0,0,6112.4,500,0
2024-02-18,6036,1328,0,362,36,0,5,4042,0,0,6036,500,0
2024-02-25,5663,1246,0,340,34,0,3,3407,0,0,5662.8,500,0
2024-03-03,6502,1431,0,390,39,0,6,3493,0,0,6502.4,500,0
2024-03-10,8238,1648,0,494,35,0,9,7075,0,0,8238.4,500,0
2024-03-17,8971,1794,0,538,38,0,11,7183,0,0,8971.2,500,0
2024-03-24,7686,1537,0,461,32,0,8,6688,0,0,7686,500,0
2024-03-31,10435,2191,0,626,46,0,14,5850,0,0,10435.2,2000,0
2024-04-07,9412,1882,0,565,45,0,12,5071,0,0,9411.6,2000,0
2024-04-14,8660,1819,0,520,38,0,10,6608,0,0,8660,2000,0
2024-04-21,8841,1945,0,530,41,0,11,4857,0,0,8841,2000,0
2024-04-28,7387,1477,0,443,31,0,8,7000,0,0,7387.2,2000,0
2024-05-05,6493,1299,1000000,390,35,5000,12,5000,0,0,6492.8,1000,0
2024-05-12,6345,1396,1000000,381,34,5000,18,7000,0,0,15000,1000,0
2024-05-19,6848,1506,1000000,411,32,5000,25,5821,0,0,25000,1000,0
2024-05-26,9826,2162,1000000,590,45,5000,30,5163,0,0,25000,1000,0
2024-06-02,6733,1414,0,404,30,0,20,6617,0,0,15000,1000,0
2024-06-09,7313,1609,0,439,43,0,12,7300,0,0,15000,2000,0
2024-06-16,10105,2021,0,606,42,0,15,7650,0,0,15000,2000,0
2024-06-23,11210,2242,0,673,54,0,17,5973,0,0,15000,2000,0
2024-06-30,8272,1654,0,496,45,0,10,4937,0,0,15000,2000,0
2024-07-07,13642,3001,0,819,72,0,23,5967,0,0,15000,2000,0
2024-07-14,16976,3565,0,1019,75,0,32,3457,0,0,25000,2000,0
2024-07-21,16752,3518,0,1005,95,0,30,6603,0,0,25000,2000,0
2024-07-28,10710,2356,0,643,57,0,15,3867,0,0,25000,2000,0
2024-08-04,12698,3500,0,762,95,0,21,8246,0,3000,25000,2000,0
2024-08-11,20000,5000,0,1200,120,0,35,5350,0,200,25000,2000,0
2024-08-18,20000,3000,0,1200,81,0,25,6971,0,100,25000,2000,0
2024-08-25,9343,2055,0,561,43,0,13,3933,0,6,25000,2000,0
2024-09-01,9118,1915,0,547,40,0,11,7396,0,0,25000,2000,0
2024-09-08,14600,3212,0,876,87,0,24,5523,0,0,25000,2000,0
2024-09-15,9974,2095,0,598,44,0,14,6000,0,0,25000,2000,0
2024-09-22,8585,1803,0,515,43,0,11,5138,0,0,10000,2000,0
2024-09-29,11124,2225,0,667,47,0,220,3000,450,0,11124,2000,1
2024-10-06,12505,2501,0,750,53,0,19,4943,0,0,12504.8,2000,0
2024-10-13,11804,2361,0,708,50,0,17,5853,0,0,11804.4,2000,0
2024-10-20,10903,2399,0,654,58,0,17,5063,0,0,10902.6,2000,0
2024-10-27,9143,1829,0,549,49,0,12,5979,0,0,9143.2,2000,0
2024-11-03,8888,1866,0,533,45,0,12,4067,0,0,8888,2000,0
2024-11-10,11092,2218,0,665,60,0,16,4363,0,0,11091.6,2000,0
2024-11-17,8910,1871,0,535,45,0,12,5488,0,0,8910,2000,0
2024-11-24,11294,2372,0,678,57,0,16,5000,0,0,11294.4,1000,0
2024-12-01,8774,1842,0,526,39,0,11,6479,0,0,8773.8,1000,0
2024-12-08,5351,500,0,321,15,0,3,4700,0,0,5350.8,1000,0
2024-12-15,6090,500,0,365,15,0,4,4227,0,0,6090,1000,0
2024-12-22,6072,500,0,364,15,0,5,5960,0,0,6072,1000,0
2024-12-29,7371,500,0,442,15,0,7,5983,0,3000,7371.2,500,0
2025-01-05,5774,500,0,346,15,0,4,5804,0,200,3000,400,0
2025-01-12,6411,500,0,385,15,0,5,5880,0,100,6411,400,0
2025-01-19,5494,500,0,330,15,0,1,5542,0,6,5493.8,300,0
2025-01-26,7239,500,0,434,15,0,47,4500,600,0,7238.6,1000,0
2025-02-02,6422,500,0,385,15,0,6,6443,0,0,6422.4,1000,0
2025-02-09,6279,500,0,377,15,0,5,6000,0,0,6279,1000,0
2025-02-16,5732,500,0,344,15,0,4,6000,0,0,5731.6,1000,0
2025-02-23,11248,800,1000000,675,24,0,40,4458,0,0,11248.2,2000,0
2025-03-02,10870,800,1000000,652,24,0,50,4000,0,0,10870.2,1000,0
2025-03-09,9531,800,1000000,572,24,0,60,4000,0,0,9531.2,1000,0
2025-03-16,6081,800,1000000,365,24,0,70,5657,0,0,6081,1000,0
2025-03-23,10702,800,0,642,24,0,50,5854,0,0,10701.6,1000,0
2025-03-30,7371,800,0,442,24,0,20,6000,0,0,7371.2,1000,0
2025-04-06,11118,800,0,667,24,0,16,4000,0,0,11117.6,1000,0
